pdb_id,run_name,run_date,structure_type,datasets,source_results_file,slurm_job_id,slurm_task_id,date_utc,conda_env,charmm_path,pac_workers,pac_timeout_budget_s,pac_timeout_detail,tapbs_timeout_override,ph7_only,protocol,salt_bridge_cutoff,topology_files,parameter_files,n_atoms_retained,n_titratable_calc,karlsberg_dir_exists,pac_runs_converged,pac_total_iterations,pac_max_final_hamming,uniprot_id
135l,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/135l_results.txt,8471511,0,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,35218,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,994,33,False,,,,
1a2j,pkad_benchmark_20260619,20260619,crystal,PKAD3,results/pkad_benchmark_20260619/1a2j_results.txt,8471511,1,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,38898,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,1453,55,False,,,,
1a2l,pkad_benchmark_20260619,20260619,crystal,PKAD3,results/pkad_benchmark_20260619/1a2l_results.txt,8471511,2,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,49012,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,2800,112,False,,,,
1a2m,pkad_benchmark_20260619,20260619,crystal,PKAD3,results/pkad_benchmark_20260619/1a2m_results.txt,8471511,3,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,48928,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,2755,110,False,,,,
1a2p,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/1a2p_results.txt,8471511,4,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,47320,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,2624,108,False,,,,
1a42,pkad_benchmark_20260619,20260619,crystal,PKAD3,results/pkad_benchmark_20260619/1a42_results.txt,8471511,5,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,43202,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,2038,82,False,,,,
1a6k,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/1a6k_results.txt,8471511,6,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,38466,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,1324,61,False,,,,
1a6m,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3",results/pkad_benchmark_20260619/1a6m_results.txt,8471511,7,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,38466,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,1336,61,False,,,,
1a91,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/1a91_results.txt,8471511,8,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,32081,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,575,0,False,,,,
1a93,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/1a93_results.txt,8471511,9,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,33128,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,525,27,False,,,,
1ac1,pkad_benchmark_20260619,20260619,crystal,"PKAD3,PKAD-R",results/pkad_benchmark_20260619/1ac1_results.txt,8471511,10,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,48769,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,2884,108,False,,,,
1acv,pkad_benchmark_20260619,20260619,crystal,PKAD3,results/pkad_benchmark_20260619/1acv_results.txt,8471511,11,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,48739,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,2888,108,False,,,,
1ans,pkad_benchmark_20260619,20260619,crystal,"PKAD2,PKAD3,PKAD-R",results/pkad_benchmark_20260619/1ans_results.txt,8471511,12,2026-06-19 11:43:44,kb3,/projects/biomodeling/charmm-lite/c46b1/ser/bin/charmm,3,30138,,,,"(-10, 'open_sb_acids'), (7, 'h_min'), (20, 'open_sb_bases')",,"'top.inp', 'converted_0.rtf', 'converted_1.rtf'",,202,0,False,,,,
